priogrid_gid,year,month,best,low,high,post_mean,honest_sigma,step,tight_classical,honest_classical,tight_cramer_param,honest_cramer_param,tight_cramer_rvi,honest_cramer_rvi
109161,2022,9,8.0,0.0,8.0,0.0,0.0,9,8.0,8.0,6.736275334819475,6.736275334819475,9.405818573116928,9.405818573116928
109879,2022,10,2.0,2.0,5.0,0.0,0.0,10,2.0,2.0,1.6840724652961907,1.6840724652961907,2.42173833253097,2.42173833253097
109881,2024,5,2.0,0.0,24.0,0.0,0.0,29,2.0,2.0,1.6840724652961907,1.6840724652961907,2.42173833253097,2.42173833253097
110600,2022,6,3.0,3.0,3.0,0.0,0.0,6,3.0,3.0,2.526107641968746,2.526107641968746,3.326091010638344,3.326091010638344
110600,2022,9,5.0,0.0,5.0,0.0,0.0,9,5.0,5.0,4.210172084262172,4.210172084262172,5.9834901584665445,5.9834901584665445
110601,2022,6,1.0,0.0,1.0,0.0,0.0,6,1.0,1.0,0.8420362328455185,0.8420362328455185,1.3745025613420165,1.3745025613420165
110601,2024,1,8.0,2.0,8.0,0.0,0.0,25,8.0,8.0,6.736275334819475,6.736275334819475,9.405818573116928,9.405818573116928
110601,2024,5,2.0,0.0,2.0,0.0,0.0,29,2.0,2.0,1.6840724652961907,1.6840724652961907,2.42173833253097,2.42173833253097
111313,2021,8,1.0,0.0,1.0,0.0,0.0,1,1.0,1.0,0.8420362328455185,0.8420362328455185,1.3745025613420165,1.3745025613420165
111319,2023,2,5.0,5.0,5.0,0.0,0.0,14,5.0,5.0,4.210172084262172,4.210172084262172,5.9834901584665445,5.9834901584665445
111320,2022,6,8.0,4.0,11.0,0.0076551724632736295,7.205867310410172,6,7.9921527732523225,7.985095212524811,6.727275334819476,6.721125920756975,9.396818573173945,9.390669159120822
111321,2021,9,2.0,2.0,2.0,0.46113591897301376,0.5684658946770125,1,1.5309165899904993,1.4352886245214904,1.2150373066013118,1.1197185209678762,1.9528067760278864,1.8571367280593474
111322,2021,4,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,0.8420362328455185,0.8420362328455185,1.3745025613420165,1.3745025613420165
112036,2021,12,2.0,2.0,3.0,0.0,0.0,1,2.0,2.0,1.6840724652961907,1.6840724652961907,2.42173833253097,2.42173833253097
112040,2022,5,2.0,1.0,2.0,0.026706863256094948,10.311852005489966,5,1.972475694942457,1.949811019795085,1.656666459436816,1.6338667840733307,2.3943346571587445,2.371536335045615
