priogrid_gid,year,month,best,low,high,post_mean,tight_classical,honest_classical,tight_parametric,honest_parametric,tight_bs,honest_bs,tight_bounds,honest_bounds,tight_rvi,honest_rvi,tight_rvi_bs,honest_rvi_bs
86822,2020,4,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
86823,2018,5,1.0,0,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
88244,2020,4,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
91143,2019,6,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
91856,2020,8,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
91857,2020,3,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
91857,2020,4,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
91863,2020,8,1.0,0,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
93308,2019,10,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
96936,2020,8,23.0,3,23,0.0,23.0,23.0,19.366791587605995,19.366791587605995,,,18.775020829857144,18.775020829857144,26.239489203800886,26.239489203800886,,
99062,2019,12,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
99095,2019,6,3.0,3,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
100498,2018,2,3.0,3,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
101230,2017,1,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
102666,2019,1,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
103383,2019,1,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
104092,2020,9,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
104103,2018,2,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
104103,2019,1,3.0,3,4,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,2.8835958587007937,2.8835958587007937,3.325982999261554,3.325982999261554,,
104103,2019,10,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
107738,2017,2,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
111321,2020,2,16.0,16,16,0.0,16.0,16.0,13.472550669638954,13.472550669638954,,,,,18.425629835609044,18.425629835609044,,
111321,2020,3,2.0,0,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
111321,2020,4,4.0,4,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,,,4.8344513819832455,4.8344513819832455,,
111321,2020,5,14.0,14,14,0.0,14.0,14.0,11.788481835934082,11.788481835934082,,,,,16.181403710493154,16.181403710493154,,
111321,2020,6,9.0,8,9,0.0,9.0,9.0,7.578309751671913,7.578309751671913,,,8.851437851727031,8.851437851727031,10.54048831147479,10.54048831147479,,
111321,2020,7,3.0,0,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
111321,2020,9,8.0,5,40,0.0,8.0,8.0,6.736275334819475,6.736275334819475,,,6.514907692112443,6.514907692112443,9.405818573116928,9.405818573116928,,
111321,2020,10,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
111322,2020,2,2.0,0,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
111322,2020,4,12.0,8,40,0.0,12.0,12.0,10.104413002229217,10.104413002229217,,,10.073053621830432,10.073053621830432,13.930769233623492,13.930769233623492,,
